Name,Data Structure,Average Time Complexity,Worst Case Time Complexity,Space Complexity
Bubble Sort,Array,O(n^2),O(n^2),O(1)
Insertion Sort,Array,O(n^2),O(n^2),O(1)
Merge Sort,Array,O(n*log(n)),O(n*log(n)),O(n)
Quick Sort,Array,O(n*log(n)),O(n^2),O(n)
Counting Sort,Array,O(n),O(n),O(n)
Bucket Sort,Array,O(n),O(n^2),O(n)
Heap Sort,Array,O(n*log(n)),O(n*log(n)),O(1)
Shell Sort,Array,O(n*log(n)),O(n^2),O(1)
Cocktail Sort,Array,O(n^2),O(n^2),O(1)
Selection Sort,Array,O(n^2),O(n^2),O(1)
Floyd's Cycle Finding Algorithm,Linked List,O(n),O(n),O(1)
Topological Sort,Directed Graph,O(n),O(n),O(n)
Huffman Coding Compression,Array,O(n*log(n)),O(n*log(n)),O(n)
Quickselect,Array,O(n),O(n^2),O(n)
Binary Search,Sorted Array,O(log(n)),O(log(n)),O(1)
Interpolation Search,Sorted Array,O(log(log(n))),O(n),O(1)
Fibonacci Search,Sorted Array,O(log(n)),O(log(n)),O(1)
Breadth-first Search,Graph,O(n),O(n),O(1)
Depth-first Search,Graph,O(n),O(n),O(1)
Dijkstra's (shortest path),Graph,O(n*log(n)),O(n*log(n)),O(n)
Bellman-Ford (shortest path),Graph,O(n^2),O(n^2),O(n)
Prim's (min spanning tree),Graph,O(n*log(n)),O(n*log(n)),O(n)
Kruskal's (min spanning tree),Graph,O(n*log(n)),O(n*log(n)),O(n)
Floyd Warshall's (shortest paths),Graph,O(n^3),O(n^3),O(n^2)
Pancake Sort,Array,O(n^2),O(n^2),O(1)
Gnome Sort,Array,O(n^2),O(n^2),O(1)
Tree Sort,Array,O(n*log(n)),O(n*log(n)),O(n)
Cartesian Sort,Array,O(n*log(n)),O(n*log(n)),O(n)
Bipartite Graph,Graph,O(n),O(n),O(n)
Compass Routing,Graph,O(n),O(n),O(1)
Find Cut Edges,Graph,O(n),O(n),O(n)
Array Search/ Insertion/ Deletion,Array,O(n),O(n),O(1)
Stack Search,Stack,O(n),O(n),O(n)
Stack Insertion/ Deletion,Stack,O(1),O(1),O(1)
Queue Insertion/ Deletion,Queue,O(1),O(1),O(1)
Queue Search,Queue,O(n),O(n),O(n)
Linked List Search,Linked List,O(n),O(n),O(1)
Linked List Insertion/ Deletion,Linked List,O(1),O(1),O(1)
Skip List Search/ Insertion/ Deletion,Skip list,O(log(n)),O(n*log(n)),O(1)
Hash Table Search/Insertion/Deletion,Hash Table,O(1),O(n),O(1)
Binary Search Tree Search/ Deletion/ Insertion,Binary Search Tree,O(log(n)),O(n),O(1)
AVL Tree Search/ Insertion/ Deletion,AVL Tree,O(log(n)),O(log(n)),O(1)
Timsort,Array,O(n*log(n)),O(n*log(n)),O(n)
Cubesort,Array,O(n*log(n)),O(n*log(n)),O(n)