Movie Name,Runtime (mins),Release Year,Oscar Nominations,BAFTA Nominations,Golden Globe Nominations
The Godfather,175,1972,11,4,8
The Shawshank Redemption,142,1994,7,0,2
Schindler's List,195,1993,12,12,6
Raging Bull,129,1980,8,4,7
Casablanca,102,1942,8,0,0
Citizen Kane,119,1941,9,0,0
Gone with the Wind,238,1939,13,0,0
The Wizard of Oz,102,1939,6,0,0
One Flew Over the Cuckoo's Nest,133,1975,9,9,6
Lawrence of Arabia,218,1962,10,5,7
Vertigo,128,1958,2,0,0
Psycho,109,1960,4,1,1
The Godfather Part II,202,1974,11,3,6
On the Waterfront,108,1954,12,3,4
Sunset Blvd.,110,1950,11,0,7
Forrest Gump,142,1994,13,7,7
The Sound of Music,172,1965,10,1,4
12 Angry Men,96,1957,3,2,4
West Side Story,153,1961,11,1,5
Star Wars,121,1977,10,5,4
2001: A Space Odyssey,149,1968,4,5,0
E.T. the Extra-Terrestrial,115,1982,9,12,5
The Silence of the Lambs,118,1991,7,9,5
Chinatown,130,1974,11,10,7
The Bridge on the River Kwai,161,1957,8,4,4
Singin' in the Rain,103,1952,2,1,2
It's a Wonderful Life,130,1946,5,0,1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95,1964,4,6,0
Some Like It Hot,121,1959,6,2,3
Ben-Hur,212,1959,12,1,4
Apocalypse Now,147,1979,8,8,4
Amadeus,160,1984,11,9,6
The Lord of the Rings: The Return of the King,201,2003,11,10,4
Gladiator,155,2000,12,12,5
Titanic,194,1997,14,8,8
From Here to Eternity,118,1953,13,1,2
Saving Private Ryan,169,1998,11,8,5
Unforgiven,130,1992,9,6,4
Indian Jones and the Raiders of the Lost Ark,115,1981,8,6,1
Rocky,120,1976,10,5,6
A Streetcar Named Desire,122,1951,12,2,3
The Philadelphia Story,112,1940,6,0,0
To Kill a Mockingbird,129,1962,8,2,5
An American in Paris,114,1951,8,1,3
The Best Years of Our Lives,170,1946,8,1,1
My Fair Lady,170,1964,12,2,5
A Clockwork Orange,136,1971,4,7,3
Doctor Zhivago,197,1965,10,3,6
The Searchers,119,1956,0,0,0
Jaws,124,1975,4,6,4