Name,Calories,Carbs,Fiber,Sugar,Fat,Protein,A,B,C,E,K,Folate,Magnesium,Manganese,Iron,Calcium,Potassium,Copper,Selenium,Phosphorous
Artichoke,47,10.5,5.4,1,0.2,3.3,0,0,20,0,18,17,15,13,0,0,0,0,0,0
Arugula,25,3.7,1.6,2.1,0.7,2.6,47,0,25,0,136,24,0,0,0,16,0,0,0,0
Asparagus,20,4,2.1,1.9,0.1,2.2,15,10,0,0,52,13,0,0,12,0,0,0,0,0
Bell Peppers,27,6.3,0.9,5,0.2,1,0,8,306,0,0,6,0,6,0,0,6,0,0,0
Beet Greens,22,4.3,3.7,0.5,0.1,2.2,127,0,50,0,500,0,0,20,0,0,22,0,0,0
Beetroot,43,9.6,2.8,6.8,0.2,1.6,0,0,8,0,0,27,6,16,0,0,9,0,0,0
Bok Choy,13,2.2,1,1.2,0.2,1.5,89,0,79,0,57,16,0,0,0,11,0,0,0,0
Broccoli,34,6.6,2.6,1.7,0.4,2.8,12,0,149,0,127,16,0,13,0,0,0,0,0,0
Rapini,22,3.1,2.7,0.4,0.5,3.2,52,0,34,0,280,21,0,20,0,0,0,0,0,0
Brussel Sprouts,43,9,3.8,2.2,0.2,3.4,15,0,142,0,221,15,0,117,0,0,0,0,0,0
Butternet Squash,40,10,2,2,0.1,0.9,223,0,25,0,0,0,7,9,0,0,8,0,0,0
Cabbage (Green),25,5.8,2.5,2.3,0.1,1.3,0,6,61,0,95,11,0,8,0,0,0,0,0,0
Cabbage (Red),31,7.4,2.1,3.8,0.2,1.4,22,10,95,0,48,0,0,12,0,0,0,0,0,0
Carrots,41,9.6,2.8,4.7,0.2,0.9,334,7,10,0,16,0,0,0,0,0,9,0,0,0
Cauliflower,25,5.3,2.5,2.4,0.1,2,0,11,77,0,20,14,0,0,0,0,9,0,0,0
Celery,16,11.7,1.6,1.8,0.2,0.7,9,0,0,0,37,9,0,5,0,0,7,0,0,0
Chives,30,15.9,2.5,1.9,0.7,3.3,87,0,97,0,266,26,0,19,0,0,0,0,0,0
Collard Greens,30,5.7,3.6,0.5,0.4,2.5,133,0,59,0,638,41,0,14,0,0,0,0,0,0
Crookneck Squash,25,5.5,1.4,2.3,0.2,1.3,0,0,11,0,7,0,7,13,0,0,7,0,0,0
Daikon Radish,18,4.1,1.6,2.5,0.1,0.6,0,0,37,0,0,17,4,0,0,0,6,6,0,0
Dandelion Greens,45,9.2,3.5,0.7,0.7,2.7,203,0,58,0,973,0,0,0,0,19,0,0,0,0
Eggplant,24,5.7,3.4,2.4,0.2,1,0,0,4,17,0,5,0,13,0,0,7,4,0,0
Chicory,17,3.4,3.1,0.3,0.2,1.3,43,0,11,0,289,35,0,21,0,0,0,0,0,0
Garlic,149,33.1,2.1,1,0.5,6.4,0,0,52,0,0,62,0,84,0,18,0,0,20,0
Spring Onion,25,5.6,3.5,2.1,0.1,1.8,80,8,76,0,209,0,0,0,11,0,0,0,0,0
Jicama,38,5.6,4.9,1.8,0.1,0.7,0,0,34,0,0,0,3,3,0,0,4,0,0,0
Kale,50,10,2,1.3,0.7,3.3,308,0,200,0,1021,0,0,39,0,14,0,0,0,0
Kimchi,15,2.4,,,0.5,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kohlrabi,27,6.2,3.6,2.6,0.1,1.7,0,8,103,0,0,0,0,7,0,0,10,14,0,0
Leeks,61,14.2,1/8,3.9,0.3,1.5,33,0,20,0,59,16,0,24,0,0,0,0,0,0
Lettuce,151,2.8,1.3,0.8,0.2,1.4,148,0,30,0,141,10,130,0,0,0,0,0,0,0
Mushrooms,27,16.1,0.6,1.7,0.1,2.5,0,63,0,0,0,0,0,0,0,0,0,25,37,0
Mustard Greens,26,4.9,3.3,1.6,0.2,2.7,210,0,117,0,622,47,0,24,0,0,0,0,0,0
Okra,31,7,3.2,1.2,0.2,2,0,0,35,0,66,22,14,50,0,0,0,0,0,0
Onions (Red),43,9,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Onions (Yellow),40,9.3,1.7,4.2,0.1,1.1,0,11,12,0,0,0,0,6,0,0,4,0,0,0
Parsnips,75,18,4.9,4.8,0.3,1.2,0,0,28,0,28,0,7,28,0,0,11,0,0,0
Potatoes,77,18.4,2.2,0.8,0.1,2,0,15,33,0,0,0,0,8,0,0,12,0,0,6
Pumpkin,26,6.4,0.5,1.4,0.1,1,148,0,15,0,0,0,0,6,0,0,10,6,0,0
Purple Sweet Potato,67,16.3,0,0,0.1,1.3,0,16,0,0,0,0,0,12,0,0,12,6,0,0
Radicchio,23,4.5,0.9,0.6,0.3,1.4,0,0,13,11,319,15,0,0,0,0,0,17,0,0
Radish,16,3.5,1.6,1.9,0.1,0.7,0,4,25,0,0,6,0,0,0,0,7,3,0,0
Swede,36,8.1,2.5,5.6,0.21,1.2,0,0,42,0,0,0,6,9,0,0,10,0,0,6
Sauerkraut,22,4.3,2.5,1.8,0.1,0.9,0,0,24,0,16,6,0,8,8,0,0,0,0,0
Seaweed,45,9.1,0.5,0.7,0.6,3,0,0,0,0,0,49,27,70,0,15,0,14,0,0
Shallots,72,16.8,0.1,0,2.5,2.5,0,17,24,0,0,0,0,15,0,0,10,0,0,0
Spaghetti Squash,31,6.9,0,0,0.6,0.6,0,13,6,0,0,0,0,5,0,0,0,0,0,0
Spinach,23,3.6,2.2,0.4,0.4,2.9,188,0,47,0,604,49,0,45,0,0,0,0,0,0
Sweet Potatoes,89,20.1,3,4.2,0.1,1.6,284,10,0,0,0,0,0,13,0,0,10,8,0,0
Swiss Chard,19,3.7,1.6,1.1,0.2,1.8,122,0,50,0,1038,0,20,18,0,0,0,0,0,0
Tomatillo,32,5.8,1.9,3.9,1,1,0,9,20,0,13,0,0,8,0,0,8,0,0,0
Tomatoes,18,3.9,1.2,2.6,0.2,0.9,17,0,21,0,10,0,0,6,0,0,7,0,0,0
Turnips,28,6.4,1.8,3.8,0.1,0.9,0,4,35,0,0,0,0,7,0,0,5,4,0,0
Watercress,11,1.3,0.5,0.2,0.2,2.3,64,0,72,0,312,0,0,12,0,12,0,0,0,0
Water Chestnut,97,23.9,3,4.8,0.1,1.4,0,28,0,0,0,0,0,17,0,0,17,16,0,0
Zucchini,16,3.3,1.1,1.7,0.2,1.2,0,11,28,0,0,7,0,9,0,0,7,0,0,0